Key Combination

space
shift+down                     Go to Next Edit Point on Any Track
down                           Go to Next Edit Point  
left                           Step Back 1 Frame 
ctrl+8                         Toggle Target Audio 2                  
6
0                              Add Edit
space
0                              Add Edit
shift+s                        Select Clip at Playhead
shift+q                        Select Previous Clip 
ctrl+X                         Cut 
ctrl+4                         Toggle Target Audio 1 
3
6
ctrl+A                         Trim Previous Edit to Playhead
ctrl+V                        Paste
ctrl+Z                        Undo
S
space
ctrl+4                         Toggle Target Audio 1 
8
0                              Add Edit
space
*                              Zoom Out 
shift+up                       Go to Previous Edit Point on Any Track
down                           Go to Next Edit Point  
up                             Go to Previous Edit Point
right                          Step Forward 1 Frame
/                              Zoom In 
space
ctrl+8                         Toggle Target Audio 2 
2
0                              Add Edit
space
0                              Add Edit
shift+s                        Select Clip at Playhead
shift+q                        Select Previous Clip 
ctrl+X                         Cut 
ctrl+2                         Toggle Target Audio 4
8
ctrl+A                         Trim Previous Edit to Playhead
S
7
7
space
/                              Zoom In 
*                              Zoom Out 
/                              Zoom In 
space
ctrl+A                         Trim Previous Edit to Playhead
ctrl+4                         Toggle Target Audio 1 
8
0                              Add Edit
space
space
ctrl+A                         Trim Previous Edit to Playhead
space
space
0                              Add Edit
space
space
right                          Step Forward 1 Frame
ctrl+A                         Trim Previous Edit to Playhead
space
space
ctrl+4                         Toggle Target Audio 1 
8
0                              Add Edit
space
/                              Zoom In 
*                              Zoom Out 
*                              Zoom Out 
*                              Zoom Out 
space
up                             Go to Previous Edit Point
down                           Go to Next Edit Point
up                             Go to Previous Edit Point
shift+down                     Go to Next Edit Point on Any Track
down                           Go to Next Edit Point
*                              Zoom Out 
/                              Zoom In 
/                              Zoom In 
/                              Zoom In 
/                              Zoom In 
space
space
left                           Step Back 1 Frame
left                           Step Back 1 Frame
left                           Step Back 1 Frame
*                              Zoom Out 
*                              Zoom Out 
*                              Zoom Out 
/                              Zoom In 
/                              Zoom In 
ctrl+A                         Trim Previous Edit to Playhead
/                              Zoom In 
*                              Zoom Out 
/                              Zoom In 
/                              Zoom In 
/                              Zoom In 
*                              Zoom Out 
*                              Zoom Out 
*                              Zoom Out 
*                              Zoom Out 
ctrl+8                         Toggle Target Audio 2 
2
0                              Add Edit
space
space
0                              Add Edit
shift+s                        Select Clip at Playhead
shift+a                        Extend Previous Edit To Playhead
shift+q                        Select Previous Clip 
ctrl+X                         Cut 
ctrl+2                         Toggle Target Audio 4
8
S
ctrl+4                         Toggle Target Audio 1 
8
0                              Add Edit
0                              Add Edit
0                              Add Edit
shift+s                        Select Clip at Playhead
0                              Add Edit
space
space
space
space
ctrl+A                         Trim Previous Edit to Playhead
space
space
ctrl+4                         Toggle Target Audio 1 
8
0                              Add Edit
space
ctrl+A                         Trim Previous Edit to Playhead
space
0                              Add Edit
space
space
